Time,Wind Direction,Wind Speed,Temperature,Cloud Cover,Easting,Northing
0,112,11,4,2,0,0
0,359,10,8,1,1,0
0,84,6,12,2,2,0
0,0,25,10,2,3,0
0,322,22,9,0,4,0
0,232,18,9,1,5,0
0,117,13,6,0,6,0
0,322,15,12,1,7,0
0,351,2,4,3,8,0
0,85,23,12,3,9,0
0,195,9,5,2,0,1
0,181,7,9,1,1,1
0,83,24,10,3,2,1
0,103,30,8,2,3,1
0,199,2,5,2,4,1
0,82,11,10,0,5,1
0,26,27,11,1,6,1
0,346,20,5,3,7,1
0,47,3,10,1,8,1
0,319,3,9,1,9,1
0,308,15,12,2,0,2
0,128,23,10,0,1,2
0,142,26,11,0,2,2
0,347,5,6,3,3,2
0,179,30,4,0,4,2
0,179,19,12,1,5,2
0,270,30,5,4,6,2
0,116,11,7,1,7,2
0,46,23,11,2,8,2
0,22,3,10,2,9,2
0,329,19,4,1,0,3
0,283,27,4,4,1,3
0,282,11,10,1,2,3
0,67,28,5,1,3,3
0,164,20,5,0,4,3
0,157,23,12,4,5,3
0,216,29,9,0,6,3
0,354,30,4,1,7,3
0,342,30,7,3,8,3
0,139,24,7,2,9,3
0,339,12,9,0,0,4
0,250,2,6,0,1,4
0,300,14,11,0,2,4
0,20,15,6,3,3,4
0,125,12,7,0,4,4
0,232,15,9,4,5,4
0,240,16,7,1,6,4
0,323,6,7,2,7,4
0,308,5,5,2,8,4
0,138,5,6,1,9,4
0,32,14,9,1,0,5
0,167,17,11,1,1,5
0,32,7,7,0,2,5
0,256,1,4,0,3,5
0,203,30,6,4,4,5
0,290,20,4,4,5,5
0,235,7,8,2,6,5
0,332,27,8,4,7,5
0,267,11,5,3,8,5
0,19,26,9,3,9,5
0,91,23,9,0,0,6
0,303,1,8,1,1,6
0,16,21,10,2,2,6
0,261,6,8,0,3,6
0,289,23,11,3,4,6
0,82,2,8,1,5,6
0,349,27,12,3,6,6
0,154,5,5,2,7,6
0,48,18,11,1,8,6
0,268,12,6,2,9,6
0,293,17,12,3,0,7
0,338,6,12,0,1,7
0,251,11,12,2,2,7
0,298,11,7,1,3,7
0,12,25,11,0,4,7
0,195,12,12,4,5,7
0,138,21,12,3,6,7
0,28,9,10,3,7,7
0,5,18,10,1,8,7
0,191,14,7,1,9,7
0,213,21,7,1,0,8
0,114,25,5,1,1,8
0,64,20,12,3,2,8
0,151,28,12,0,3,8
0,100,13,12,4,4,8
0,244,24,9,2,5,8
0,274,15,7,1,6,8
0,41,5,4,4,7,8
0,157,2,9,4,8,8
0,79,2,12,3,9,8
0,345,17,8,1,0,9
0,310,26,7,4,1,9
0,116,30,12,1,2,9
0,45,23,11,0,3,9
0,43,16,6,3,4,9
0,176,5,8,3,5,9
0,328,1,7,3,6,9
